,캠퍼스,대학이름,대학번호,부서이름,부서번호,학수번호-분반,이수구분,교과목명,담당교수,학점(시간),강의시간/강의실,상대평가,인원제한,대기,교환학생,출석확인자율화,무감독시험,유연학기,1)M,2)FC,3)T,1학년 정원,2학년 정원,3학년 정원,4학년 정원,교환학생 정원,대학원생 정원,전체 정원
0,서울,정보대학,5720,6666,6666,CYDF420-00,전공필수,뇌및인지과학개론(영강),곽지현,3( 3),화(5) 애기능생활관 302호 목(5) 애기능생활관 302호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
1,서울,정보대학,5720,6666,6666,CYDF420-00,전공필수,뇌및의공학입문(영강),이종환,3( 3),월(2) 과도관 615호 수(2) 과도관 615호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
2,서울,정보대학,5720,6666,6666,CYDF420-00,전공필수,뇌및머신러닝입문(영강),감태의,3( 3),수(2) 애기능생활관 303호 금(2) 애기능생활관 303호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
0,서울,정보대학,5720,5965,5965,CYDF420-00,전공필수,현장실습V,이성권,3( 0),,,●,●,,,,,,,,-,-,-,-,0,-,50 + 0
1,서울,정보대학,5720,5965,5965,CYDF420-00,전공필수,현장실습VI,이성권,3( 0),,,●,●,,,,,,,,-,-,-,-,0,-,50 + 0
2,서울,정보대학,5720,5965,5965,CYDF420-00,전공필수,현장실습VII,이성권,3( 0),,,●,●,,,,,,,,-,-,-,-,0,-,50 + 0
3,서울,정보대학,5720,5965,5965,CYDF420-00,전공필수,현장실습VIII,이성권,3( 0),,,●,●,,,,,,,,-,-,-,-,0,-,50 + 0
0,서울,정보대학,5720,5944,5944,CYDF420-00,전공선택,고급해킹실습  정보보호융합전공만 수강가능 과학도서관 209호에서 강의,김경곤,3( 6),화(6-11),,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
0,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,이산수학(영강)  타과생분반(컴퓨터학과 수강불가),박성빈,3( 3),월(6) 정보통신관 601호 수(6) 정보통신관 601호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
1,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,이산수학(영강),박성빈,3( 3),화(6) 정보통신관 601호 금(5) 정보통신관 601호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
2,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,자료구조,이도길,3( 3),화(3-4) 정보통신관 205호 목(3) 정보통신관 205호,,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
3,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,자료구조(영강),석흥일,3( 3),화(5) 정보통신관 601호 목(5) 정보통신관 601호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
4,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,자료구조,최수경,3( 3),화(5-6) 애기능생활관 301호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
5,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,알고리즘(영강),박성빈,3( 3),월(5) 정보통신관 202호 금(6) 정보통신관 202호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
6,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,알고리즘,,3( 3),월(5) 정보통신관 601호 수(5) 정보통신관 601호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
7,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,계산이론(영강),이희조,3( 3),월(2) 정보통신관 205호 수(2) 정보통신관 205호,,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
8,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,논리설계(영강),정성우,3( 3),화(2) 정보통신관 601호 목(2) 정보통신관 601호,,●,●,●,●,,,,,●,-,-,-,-,0,-,50 + 0
9,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,논리설계,백승준,3( 3),화(6) 정보통신관 202호 목(6) 정보통신관 202호,,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
10,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,논리설계,이숙윤,3( 3),화(1) 정보통신관 205호 목(1) 정보통신관 205호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
11,서울,정보대학,5720,5722,5722,CYDF420-00,전공필수,컴퓨터구조,,3( 3),월(5) 애기능생활관 301호 수(5) 애기능생활관 301호,,●,●,●,,,,,,,-,-,-,-,0,-,50 + 0
12,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,컴파일러,오학주,3( 3),월(6) 애기능생활관 301호 수(6) 애기능생활관 301호,●,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
13,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,컴퓨터시스템설계(영강),서태원,3( 3),화(2) 애기능생활관 302호 목(2) 애기능생활관 302호,,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
14,서울,정보대학,5720,5722,5722,CYDF420-00,전공선택,컴퓨터그래픽스,한정현,3( 3),월(5) 정보통신관 205호 수(5) 정보통신관 205호,,●,●,●,●,,,,,,-,-,-,-,0,-,50 + 0
