,대학이름,대학이름(번호),부서이름,부서이름(번호),강좌번호,강좌총수,학수번호,학수번호(분반),과목명,교수,총학수번호,1학년(신청),1학년(총),2학년(신청),2학년(총),3학년(신청),3학년(총),4학년(신청),4학년(총),교환학생(신청),교환학생(총),대학원생(신청),대학원생(총),전체(신청),전체(총)
0,정보대학,5720,뇌인지,6666,1,3,BNCS301,00, 뇌및인지과학개론(영강),곽지현,BNCS301-00,0,-,1,-,22,-,9,-,4,5,0,-,36,35 + 5
1,정보대학,5720,뇌인지,6666,2,3,BNCS303,00, 뇌및의공학입문(영강),이종환,BNCS303-00,0,-,3,-,11,-,10,-,1,5,0,-,25,35 + 5
2,정보대학,5720,뇌인지,6666,3,3,BNCS411,00, 뇌및머신러닝입문(영강),감태의,BNCS411-00,0,-,0,-,4,-,9,-,0,3,0,-,13,22 + 3
3,정보대학,5720,소벤융,5965,1,4,STEP410,00, 현장실습V,이성권,STEP410-00,0,-,0,-,1,-,2,-,0,0,0,-,3,60 + 0
4,정보대학,5720,소벤융,5965,2,4,STEP411,00, 현장실습VI,이성권,STEP411-00,0,-,0,-,1,-,1,-,0,0,0,-,2,60 + 0
5,정보대학,5720,소벤융,5965,3,4,STEP412,00, 현장실습VII,이성권,STEP412-00,0,-,0,-,1,-,1,-,0,0,0,-,2,60 + 0
6,정보대학,5720,소벤융,5965,4,4,STEP413,00, 현장실습VIII,이성권,STEP413-00,0,-,0,-,1,-,1,-,0,0,0,-,2,60 + 0
7,정보대학,5720,정보보,5944,1,1,ISEC401,00, 고급해킹실습,김경곤,ISEC401-00,0,-,0,-,4,-,13,-,0,1,0,-,17,24 + 1
8,정보대학,5720,컴퓨터,5722,1,36,COSE211,01, 이산수학(영강),박성빈,COSE211-01,0,-,21,-,56,-,44,-,7,13,0,-,128,87 + 13
9,정보대학,5720,컴퓨터,5722,2,36,COSE211,02, 이산수학(영강),박성빈,COSE211-02,16,-,63,-,10,-,6,-,4,13,0,-,99,87 + 13
10,정보대학,5720,컴퓨터,5722,3,36,COSE213,01, 자료구조,이도길,COSE213-01,10,-,56,-,18,-,11,-,2,4,0,-,97,96 + 4
11,정보대학,5720,컴퓨터,5722,4,36,COSE213,02, 자료구조(영강),석흥일,COSE213-02,21,-,33,-,17,-,10,-,12,13,0,-,93,87 + 13
12,정보대학,5720,컴퓨터,5722,5,36,COSE213,03, 자료구조,최수경,COSE213-03,2,-,2,-,0,-,3,-,0,4,0,-,7,96 + 4
13,정보대학,5720,컴퓨터,5722,6,36,COSE214,01, 알고리즘(영강),박성빈,COSE214-01,14,-,47,-,11,-,2,-,10,11,0,-,84,76 + 11
14,정보대학,5720,컴퓨터,5722,7,36,COSE214,02, 알고리즘,,COSE214-02,7,-,22,-,3,-,3,-,1,4,0,-,36,96 + 4
15,정보대학,5720,컴퓨터,5722,8,36,COSE215,01, 계산이론(영강),이희조,COSE215-01,20,-,86,-,36,-,18,-,6,13,0,-,166,87 + 13
